"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"03/01/2023";"0200";"20,8";"";"";"99,9";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"03/01/2023";"0300";"20,7";"";"";"99,9";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"03/01/2023";"0400";"20,7";"";"";"99,9";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"03/01/2023";"0500";"20,3";"";"";"99,9";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"03/01/2023";"0600";"20,0";"";"";"99,9";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,2"
"03/01/2023";"0700";"20,1";"";"";"99,9";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"03/01/2023";"0800";"20,4";"";"";"99,9";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"03/01/2023";"0900";"20,5";"";"";"99,9";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"03/01/2023";"1000";"20,7";"";"";"99,9";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"03/01/2023";"1100";"22,0";"";"";"98,8";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"03/01/2023";"1200";"24,4";"";"";"84,9";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"03/01/2023";"1300";"25,2";"";"";"79,5";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"03/01/2023";"1400";"27,0";"";"";"72,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2023";"1500";"26,8";"";"";"72,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2023";"1600";"27,1";"";"";"73,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2023";"1700";"28,5";"";"";"69,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2023";"1800";"29,4";"";"";"66,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2023";"1900";"29,7";"";"";"62,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2023";"2000";"29,7";"";"";"60,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2023";"2100";"29,1";"";"";"62,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2023";"2200";"28,0";"";"";"70,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2023";"2300";"27,2";"";"";"74,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2023";"0000";"25,0";"";"";"84,1";"";"";"";"";"";"";"";"";"1,7";"";"";"";"13,4"
"04/01/2023";"0100";"20,9";"";"";"99,9";"";"";"";"";"";"";"";"";"1,5";"";"";"";"2,5"
"04/01/2023";"0200";"21,2";"";"";"99,9";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"04/01/2023";"0300";"21,7";"";"";"99,9";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"04/01/2023";"0400";"21,8";"";"";"99,9";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,0"
"04/01/2023";"0500";"21,8";"";"";"99,9";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"04/01/2023";"0600";"22,0";"";"";"99,9";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"04/01/2023";"0700";"22,0";"";"";"99,9";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"04/01/2023";"0800";"21,9";"";"";"99,9";"";"";"";"";"";"";"";"";"1,4";"";"";"";"16,5"
"04/01/2023";"0900";"21,9";"";"";"99,9";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,7"
"04/01/2023";"1000";"21,3";"";"";"99,9";"";"";"";"";"";"";"";"";"1,4";"";"";"";"10,9"
